Total,Clearance,Circulation,PairwiseDistance,PairwiseAngle,ConversationDistance,ConversationAngle,Balance,Alignment,WallAlignment,Symmetry,Emphasis,AcceptanceProbability,Iteration
-72.223990,0.005111,0.000000,-0.507974,-2.041692,-2.999320,-3.539936,0.689383,-9.553534,-4.876232,8.387091,-1.140107,0.978133,100.000000
-71.644270,0.000000,0.000000,-0.504131,-2.051199,-2.977273,-3.490541,0.668582,-9.553534,-4.876232,8.716733,-1.172875,0.560055,101.000000
-72.511660,0.000000,0.000000,-0.507604,-2.029994,-3.077791,-3.551563,0.675395,-9.553534,-4.876232,8.445375,-1.109994,1.000000,102.000000
-71.293320,0.114004,0.000000,-0.508577,-2.058022,-2.912345,-3.523234,0.711470,-9.553534,-4.876232,8.306473,-1.180551,0.295721,104.000000
-71.549280,0.092957,0.000000,-0.510781,-2.051477,-2.951519,-3.502261,0.719028,-9.553534,-4.876232,8.146316,-1.158872,1.000000,106.000000
-71.384670,0.089687,0.000000,-0.510648,-2.046815,-2.951519,-3.480610,0.726307,-9.546285,-4.879428,8.151188,-1.154049,0.848229,107.000000
-71.726950,0.135057,0.000000,-0.512444,-2.103611,-2.951519,-3.785401,0.630940,-9.040099,-4.682583,8.098078,-1.213651,1.000000,110.000000
-70.889960,0.150448,0.000000,-0.513034,-2.119070,-2.951519,-3.893144,0.601218,-8.564550,-4.541264,8.086800,-1.230378,0.433012,112.000000
-71.951810,0.104293,0.000000,-0.511237,-2.066937,-2.951519,-3.577515,0.694294,-9.526657,-4.851925,8.130724,-1.174940,1.000000,114.000000
-72.119560,0.078570,0.000000,-0.514071,-2.058950,-3.013380,-3.522282,0.703021,-9.526657,-4.851925,7.956337,-1.145288,1.000000,115.000000
-73.159820,0.000000,0.000000,-0.508304,-2.040651,-3.123854,-3.627944,0.644189,-9.526657,-4.851925,8.414551,-1.111255,1.000000,116.000000
-72.872380,0.000000,0.000000,-0.509390,-2.052136,-3.034801,-3.610660,0.664266,-9.526657,-4.851925,8.299919,-1.139625,0.750184,117.000000
-73.282790,0.000000,0.000000,-0.510007,-2.035301,-3.156357,-3.616489,0.652412,-9.526657,-4.851925,8.296067,-1.090135,1.000000,119.000000
-73.580860,0.000000,0.000000,-0.415744,-2.102016,-3.156357,-3.686480,0.693007,-9.514644,-4.779294,8.291874,-1.091524,1.000000,120.000000
-73.471120,0.000000,0.000000,-0.400741,-2.117125,-3.156357,-3.708038,0.702344,-9.437917,-4.745475,8.287602,-1.093004,0.896066,121.000000
-73.560710,0.000000,0.000000,-0.646240,-2.049655,-3.190257,-3.678086,0.729006,-9.437917,-4.745475,8.264469,-1.089919,1.000000,122.000000
-73.464290,0.000000,0.000000,-1.127806,-1.989010,-3.105347,-3.648719,0.756759,-9.437917,-4.745475,8.462325,-1.088914,0.908082,123.000000
-73.528930,0.000000,0.000000,-0.938303,-2.010725,-3.144267,-3.660472,0.745196,-9.437917,-4.745475,8.371197,-1.089311,1.000000,124.000000
-73.744300,0.000000,0.000000,-1.058809,-1.931028,-3.236880,-3.647682,0.772223,-9.437917,-4.745475,8.256759,-1.094540,1.000000,126.000000
-73.887470,0.000000,0.000000,-1.062721,-1.924264,-3.236880,-3.641434,0.766043,-9.491714,-4.768611,8.253086,-1.095915,1.000000,127.000000
-74.141650,0.000000,0.000000,-1.097674,-1.883965,-3.236880,-3.625859,0.726905,-9.559990,-4.850433,8.221289,-1.109401,1.000000,128.000000
-74.085900,0.000000,0.000000,-1.103553,-1.879219,-3.236880,-3.627064,0.722067,-9.532295,-4.851892,8.216311,-1.111732,0.945770,129.000000
-73.652390,0.000000,0.000000,-1.056764,-1.934891,-3.236880,-3.651635,0.775698,-9.402838,-4.731332,8.258650,-1.093849,0.648230,132.000000
-74.191360,0.000000,0.000000,-1.086880,-1.893811,-3.236880,-3.625690,0.736805,-9.590022,-4.841050,8.230719,-1.105134,1.000000,134.000000
-73.847820,0.000000,0.000000,-1.127806,-1.918388,-3.159431,-3.606059,0.726829,-9.590022,-4.841050,8.356930,-1.095686,0.709258,135.000000
-73.472170,0.000000,0.000000,-1.107423,-1.964332,-3.159431,-3.648250,0.768384,-9.405745,-4.732482,8.374205,-1.089658,0.686838,136.000000
-73.110080,0.000000,0.000000,-1.091546,-1.979907,-3.159431,-3.669875,0.781627,-9.255281,-4.676312,8.375359,-1.089295,0.696219,137.000000
-71.702930,0.000000,0.000000,-1.048661,-2.023685,-3.159431,-3.745998,0.816188,-8.665124,-4.484346,8.367723,-1.091795,0.244840,138.000000
